Issue Type,Summary,Description,Priority,Status,Estimate (hours),Tags,Milestone,Dependencies,Created Date
Task,"Photo Upload","Profile photo upload with camera/gallery picker across all platforms. Store in PocketBase files.",high,todo,8,"onboarding, photo, upload, multiplatform",milestone:m1,"task:onboard-001",2025-12-05
Task,"Location Permission & Selection","Request location permissions and allow manual location selection for matching",medium,todo,4,"onboarding, location, permissions",milestone:m1,"task:onboard-001",2025-12-05
Task,"Key Values Selection Screen","Values/interests selection screen pulling from s_key_values collection. User selects and rates importance (1-10).",high,todo,8,"onboarding, values, matching",milestone:m1,"task:onboard-001",2025-12-05
Task,"Onboarding Completion State","Track and persist onboarding completion state to prevent re-showing wizard",high,todo,2,"onboarding, state",milestone:m1,"task:onboard-004",2025-12-05
Task,"Questionnaire UI","Proust questionnaire card-based UI with swipe/tap interactions. Pull prompts from s_prompts collection.",high,todo,12,"proust, questionnaire, ui",milestone:m2,"",2025-12-05
Task,"Answer Drafting & Local State","Local draft state for answers before submission. Support partial completion.",high,todo,6,"proust, state, draft",milestone:m2,"task:proust-001",2025-12-05
Task,"Answer Submission","Submit answers to s_user_answers PocketBase collection with proper validation",high,todo,4,"proust, pocketbase, submission",milestone:m2,"task:proust-002",2025-12-05
Task,"Realtime Updates (SSE/Polling)","Realtime prompt updates using SSE or smart polling fallback via PocketBase SDK",high,todo,6,"proust, realtime, sse",milestone:m2,"task:proust-001",2025-12-05
Task,"Progress Indicator","Show questionnaire completion progress with visual indicator",medium,todo,4,"proust, ui, progress",milestone:m2,"task:proust-001",2025-12-05
Task,"Review/Edit Answers","Allow users to review and edit previously submitted answers",medium,todo,6,"proust, edit, review",milestone:m2,"task:proust-003",2025-12-05
Task,"Discover Screen Layout","Discover screen with profile cards showing user photo, name, and compatibility score",high,todo,8,"matching, discover, ui",milestone:m2,"",2025-12-05
Task,"Profile Card Component","Reusable profile card component with photo, name, age, bio preview, match score",high,todo,8,"matching, ui, component",milestone:m2,"",2025-12-05
Task,"Compatibility Score Display","Display compatibility percentage with shared values highlight",high,todo,4,"matching, compatibility, ui",milestone:m2,"task:match-002",2025-12-05
Task,"Swipe Gestures","Implement swipe gestures for like (right) / pass (left) on profile cards with animations",high,todo,8,"matching, gestures, animation",milestone:m2,"task:match-002",2025-12-05
Task,"Match Algorithm Integration","Integrate with backend match algorithm. Query s_matches collection for compatibility scores.",high,todo,12,"matching, algorithm, backend",milestone:m2,"",2025-12-05
Task,"Shared Values Highlight","Show 'You both value...' section highlighting shared key values",medium,todo,4,"matching, values, ui",milestone:m2,"task:match-005",2025-12-05
Task,"Filter Preferences","Filter matches by seeking status, distance, age range preferences",medium,todo,8,"matching, filters, preferences",milestone:m2,"task:match-001",2025-12-05
Task,"Profile View Screen (Self)","Self profile view screen showing all user data, photos, values, questionnaire answers",high,todo,8,"profile, view, self",milestone:m2,"",2025-12-05
Task,"Profile View Screen (Others)","View other users' profiles from discover/matches with appropriate privacy controls",high,todo,6,"profile, view, privacy",milestone:m2,"task:profile-001",2025-12-05
Task,"Profile Editing Screen","Edit profile screen for updating bio, photos, values, seeking status",high,todo,8,"profile, edit",milestone:m2,"task:profile-001",2025-12-05
Task,"Photo Gallery Management","Manage multiple profile photos with reorder, add, delete functionality",high,todo,10,"profile, photos, gallery",milestone:m2,"task:profile-003",2025-12-05
Task,"Values Management","Update selected values and importance ratings after onboarding",medium,todo,6,"profile, values, edit",milestone:m2,"task:profile-003",2025-12-05
Task,"Profile Completeness Indicator","Show profile completeness percentage with suggestions for improvement",low,todo,4,"profile, completeness, gamification",milestone:m2,"task:profile-001",2025-12-05
Task,"Emotion Terms List UI","Display g_emotion_terms from PocketBase with search/filter. Show verb, polarity, intensity range.",high,todo,6,"emotion-graph, ui, terms",milestone:m2,"",2025-12-05
Task,"Create Graph Item","UI for creating g_items (person, place, memory, media). Link to actual profiles when applicable.",high,todo,8,"emotion-graph, items, create",milestone:m2,"task:graph-001",2025-12-05
Task,"Create Emotion Edge","UI for creating g_emotion_edges connecting user to items with emotion terms and intensity",high,todo,8,"emotion-graph, edges, create",milestone:m2,"task:graph-002",2025-12-05
Task,"Intensity Slider","Intensity selector (0-100) for emotion edges with haptic feedback",medium,todo,4,"emotion-graph, ui, intensity",milestone:m2,"task:graph-003",2025-12-05
Task,"Conversations List Screen","List all active conversations with last message preview, timestamp, unread badge",high,todo,6,"messaging, conversations, list",milestone:m3,"",2025-12-05
Task,"Chat Screen","Individual chat screen with message bubbles, input field, send button",high,todo,12,"messaging, chat, ui",milestone:m3,"task:msg-001",2025-12-05
Task,"Message Sending","Send messages to PocketBase with optimistic updates and error handling",high,todo,6,"messaging, send, pocketbase",milestone:m3,"task:msg-002",2025-12-05
Task,"Realtime Message Updates","Realtime message delivery using SSE subscriptions from PocketBase",high,todo,8,"messaging, realtime, sse",milestone:m3,"task:msg-002",2025-12-05
Task,"Message Read Receipts","Track and display read receipts for sent messages",medium,todo,4,"messaging, receipts",milestone:m3,"task:msg-003",2025-12-05
Task,"Typing Indicators","Show typing indicators when match is composing a message",low,todo,4,"messaging, typing, realtime",milestone:m3,"task:msg-004",2025-12-05
Task,"Push Notification Infrastructure","Set up push notifications for Android (FCM) and iOS (APNs) with server integration",high,todo,12,"notifications, push, fcm, apns",milestone:m3,"",2025-12-05
Task,"New Message Notifications","Push notifications for new messages with proper deep linking to conversation",high,todo,4,"notifications, messages",milestone:m3,"task:notif-001; task:msg-003",2025-12-05
Task,"New Match Notifications","Push notifications when a new match is made",high,todo,4,"notifications, matches",milestone:m3,"task:notif-001",2025-12-05
Task,"In-App Notification Badges","Badge system for bottom navigation showing unread counts",medium,todo,4,"notifications, badges, ui",milestone:m3,"task:nav-004",2025-12-05
Task,"Screen Transitions","Smooth screen transitions with shared element animations where appropriate",medium,todo,8,"polish, animation, transitions",milestone:m4,"",2025-12-05
Task,"Card Swipe Animations","Polish swipe gestures with spring physics and satisfying feedback",high,todo,6,"polish, animation, swipe",milestone:m4,"task:match-004",2025-12-05
Task,"Loading States & Skeletons","Skeleton loading states for all data-driven screens",medium,todo,6,"polish, loading, skeleton",milestone:m4,"",2025-12-05
Task,"Screen Reader Support","Semantic accessibility labels for all interactive elements",high,todo,8,"accessibility, screen-reader",milestone:m4,"",2025-12-05
Task,"Touch Target Sizing","Ensure all touch targets meet 48dp minimum size guidelines",medium,todo,4,"accessibility, touch",milestone:m4,"",2025-12-05
Task,"Color Contrast Verification","Verify WCAG AA color contrast compliance across all themes",medium,todo,4,"accessibility, contrast, wcag",milestone:m4,"",2025-12-05
Task,"Android App Signing","Configure release signing for Android with upload key and Play App Signing",high,todo,4,"infrastructure, android, signing",milestone:m5,"",2025-12-05
Task,"iOS Provisioning & Certificates","Set up iOS distribution certificates, provisioning profiles, and App Store Connect",high,todo,6,"infrastructure, ios, certificates",milestone:m5,"",2025-12-05
Task,"Re-enable GitHub Actions","Selectively re-enable CI/CD pipelines for automated testing and deployment",high,todo,4,"infrastructure, ci-cd, github-actions",milestone:m5,"",2025-12-05
Task,"Crash Reporting Setup","Integrate crash reporting (Sentry/Crashlytics) for all platforms",high,todo,6,"infrastructure, crash-reporting, monitoring",milestone:m5,"",2025-12-05
Task,"TestFlight Setup","Configure TestFlight for iOS beta distribution with external testers",high,todo,4,"beta, testflight, ios",milestone:m5,"task:infra-002",2025-12-05
Task,"Internal Testing Track","Set up Google Play Internal Testing track for Android beta",high,todo,4,"beta, play-store, android",milestone:m5,"task:infra-001",2025-12-05
Task,"App Store Listing","Create App Store listing with screenshots, description, keywords",high,todo,8,"launch, app-store, marketing",milestone:m6,"",2025-12-05
Task,"Play Store Listing","Create Play Store listing with screenshots, description, content rating",high,todo,8,"launch, play-store, marketing",milestone:m6,"",2025-12-05
Task,"Privacy Policy & Terms","Draft and publish privacy policy and terms of service",high,todo,4,"launch, legal, privacy",milestone:m6,"",2025-12-05
Task,"Load Testing","Load test backend infrastructure before launch",high,todo,8,"launch, testing, performance",milestone:m6,"",2025-12-05
Task,"Smart Queue System for PocketBase","Implement Redis-based queue system to handle write-heavy operations, prevent SQLite bottlenecks, avoid write locks and stale reads. Use Bull/BullMQ for job processing with proper retry logic and dead letter queues.",critical,todo,16,"infrastructure, backend, scalability, queue, redis, pocketbase",milestone:m4,"",2026-01-30
Task,"Read/Write Separation Strategy","Implement read replica pattern for PocketBase. Use SQLite's WAL mode, connection pooling, and read-after-write consistency guarantees. Cache frequently read data (profiles, matches) in Redis with smart invalidation.",high,todo,12,"infrastructure, backend, scalability, database, sqlite, redis",milestone:m4,"task:infra-005",2026-01-30
Task,"Nginx Load Balancing & Connection Pooling","Configure Nginx for smart load balancing across multiple PocketBase instances. Implement sticky sessions for SSE connections, health checks, circuit breakers, and failover. Add connection pooling and rate limiting.",high,todo,10,"infrastructure, nginx, load-balancer, scalability",milestone:m4,"",2026-01-30
Task,"Event-Driven Architecture with Event Streams","Implement event bus using Redis Streams or NATS for async operations: match calculations, notifications, analytics. Decouple services with pub/sub patterns and ensure idempotent event handlers.",high,todo,14,"infrastructure, backend, event-driven, microservices, redis",milestone:m4,"task:infra-005",2026-01-30
Task,"Database Race Condition Prevention","Implement optimistic locking with version fields, transaction isolation levels, and conflict resolution strategies. Handle concurrent writes to matches, messages, and user state with proper retry logic.",high,todo,8,"backend, database, concurrency, race-conditions",milestone:m4,"",2026-01-30
Task,"Google OAuth Integration - Backend","Implement Google OAuth 2.0 flow in PocketBase. Handle token validation, user creation/linking, profile sync. Add refresh token management and revocation endpoints.",high,todo,8,"auth, backend, oauth, google",milestone:m1,"",2026-01-30
Task,"Google OAuth Integration - UI","Create beautiful Google Sign-In button with official branding. Implement OAuth flow in KMP: Android (GoogleSignIn SDK), iOS (Sign in with Apple + Google), Web (Google Identity Services). Handle errors gracefully.",high,todo,10,"auth, ui, oauth, google, kmp",milestone:m1,"task:auth-007",2026-01-30
Task,"Email/Password Authentication Polish","Enhance email/password flow with beautiful transitions, form validation, password strength indicators, and accessibility. Add 'Show Password' toggle, loading states, and error animations.",medium,todo,6,"auth, ui, ux, polish",milestone:m1,"",2026-01-30
Task,"Role-Based Access Control (RBAC)","Implement RBAC system with roles (user, moderator, admin) and permissions. Add middleware for authorization checks, admin dashboard access control, and audit logging.",medium,todo,8,"auth, backend, rbac, security",milestone:m5,"",2026-01-30
Task,"Proust Questionnaire - Beautiful UI/UX","Create stunning multi-step questionnaire flow with smooth animations, progress indicators, and engaging interactions. Use glassmorphism, gradients, and micro-interactions. Support swipe gestures and keyboard navigation.",high,todo,12,"proust, ui, ux, animation, kmp",milestone:m2,"task:proust-001",2026-01-30
Task,"Proust Auto-Save & Draft Management","Implement auto-save of questionnaire answers every 10s. Store drafts in local cache, sync to backend when online. Handle conflicts and restore drafts on app restart.",medium,todo,6,"proust, offline, cache, ux",milestone:m2,"task:proust-001",2026-01-30
Task,"Rich Message Types (Image, Voice, Emoji)","Support image uploads, voice messages, GIFs, and rich emoji reactions. Implement media compression, thumbnail generation, and progressive loading. Add emoji picker with recent/favorites.",high,todo,16,"messaging, ui, media, kmp",milestone:m3,"task:msg-002",2026-01-30
Task,"Message Delivery Status & Read Receipts UI","Add beautiful indicators for message states: sending, sent, delivered, read. Use subtle animations and WhatsApp-style checkmarks. Handle offline queue status display.",medium,todo,6,"messaging, ui, ux",milestone:m3,"task:msg-002",2026-01-30
Task,"Typing Indicators with SSE","Implement real-time typing indicators using PocketBase SSE. Debounce typing events (1s), show '...' animation. Handle multiple users typing in group context (future).",medium,todo,4,"messaging, realtime, sse, ux",milestone:m3,"task:msg-002",2026-01-30
Task,"Message Search & Filtering","Full-text search within conversations. Filter by media type, date ranges. Implement efficient SQLite FTS5 indexing and pagination. Beautiful search UI with highlights.",medium,todo,8,"messaging, search, database, ui",milestone:m3,"",2026-01-30
Task,"Profile Photo Upload & Management","Multi-photo upload (up to 6), drag-to-reorder, crop/zoom. Implement client-side compression, progressive upload, and thumbnail generation. Beautiful gallery with swipe gestures.",high,todo,12,"profile, ui, media, kmp",milestone:m2,"",2026-01-30
Task,"Profile Questions & Prompts","Implement modern profile prompts (e.g., 'My perfect Sunday', 'I'm looking for...'). Support text, voice, and video responses. Beautiful card-based UI with animations.",medium,todo,10,"profile, ui, ux, content",milestone:m2,"",2026-01-30
Task,"Relationship Goals & Preferences","Beautiful UI for selecting relationship type (long-term, casual, friendship, etc.), deal-breakers, and preferences. Use chips, sliders, and toggles with smooth interactions.",high,todo,8,"profile, ui, ux, matching",milestone:m2,"",2026-01-30
Task,"Affinity Score Algorithm - Statistical","Implement statistical matching: personality similarity (Big 5), value alignment, lifestyle compatibility. Use cosine similarity, weighted scoring, and ML-ready feature engineering.",high,todo,16,"matching, backend, algorithm, ml, statistics",milestone:m4,"task:match-005",2026-01-30
Task,"Soft Skills & Vibes Matching","Analyze communication style, humor, emotional intelligence from Proust answers. Use NLP (sentiment analysis, tone detection) and behavioral signals. Weight 'vibe compatibility' in final score.",medium,todo,20,"matching, backend, nlp, ml, ai",milestone:m5,"",2026-01-30
Task,"Geographic Distance Matching","Integrate location data into matching. Calculate haversine distance, weight by user preferences (e.g., max 50 miles). Add map visualization for discovery. Handle privacy with fuzzy locations.",medium,todo,10,"matching, backend, geolocation, ui",milestone:m4,"task:backend-002",2026-01-30
Task,"Batch Matching Job Orchestration","Implement efficient cron jobs for match recalculation. Use incremental updates (only changed profiles), prioritize new users, and batch processing. Monitor performance and add metrics.",high,todo,8,"matching, backend, jobs, performance",milestone:m4,"task:infra-005",2026-01-30
Task,"Consistent Design System Tokens","Define design tokens (colors, spacing, typography, shadows, radii) in shared KMP module. Ensure consistency across Android, iOS, Web, Desktop. Add dark mode support.",high,todo,8,"ui, design-system, kmp, theming",milestone:m2,"",2026-01-30
Task,"Shared Composable Component Library","Build reusable composables: BSideButton, BSideCard, BSideTextField, BSideAvatar, BSideBottomSheet. Document in Showkase-style catalog with platform-specific adaptations.",high,todo,16,"ui, components, kmp, design-system",milestone:m2,"task:ui-003",2026-01-30
Task,"Animations & Transitions Library","Implement shared animation utilities: screen transitions, loading states, skeleton screens, shimmer effects, spring physics. Use Compose Animation APIs with platform optimization.",medium,todo,12,"ui, animation, kmp, ux",milestone:m4,"",2026-01-30
Task,"Platform-Specific UI Adaptations","Handle iOS/Android differences: navigation bars, system gestures, safe areas, status bar styling, haptic feedback. Test on tablets, foldables, and various screen sizes.",high,todo,10,"ui, kmp, platform-specific, responsive",milestone:m4,"",2026-01-30
Task,"Dynamic Rendering Performance Optimization","Optimize Compose performance: LazyColumn pagination, remember/derivedStateOf usage, recomposition debugging. Profile with Compose Metrics. Target 60fps on all platforms.",high,todo,12,"ui, performance, kmp, optimization",milestone:m4,"",2026-01-30
Task,"Backend API Integration Tests","Write comprehensive integration tests for all PocketBase APIs: auth, profiles, messages, matches. Test error cases, edge cases, and race conditions. Use testcontainers for isolation.",high,todo,16,"testing, backend, integration, api",milestone:m3,"",2026-01-30
Task,"KMP SDK Unit Tests (80%+ Coverage)","Achieve 80%+ test coverage for SDK repositories, ViewModels, and use cases. Use MockK for mocking, Turbine for Flow testing. Test offline scenarios and cache behavior.",high,todo,20,"testing, kmp, unit, coverage",milestone:m3,"",2026-01-30
Task,"UI Screenshot Tests (Paparazzi/Showkase)","Implement screenshot regression tests for all screens and components. Use Paparazzi for Android, maintain golden files. Test light/dark themes and different screen sizes.",medium,todo,12,"testing, ui, screenshot, regression",milestone:m4,"",2026-01-30
Task,"End-to-End Multi-Platform Tests","Write E2E tests for critical user flows: signup → profile → matching → messaging. Use Maestro or Appium. Test across Android, iOS, Web simultaneously.",medium,todo,16,"testing, e2e, kmp, automation",milestone:m5,"",2026-01-30
Task,"Load & Performance Testing","Simulate high traffic: 1000+ concurrent users, message floods, match calculations. Use k6 or Artillery. Identify bottlenecks in DB, queue, and API layers.",medium,todo,10,"testing, performance, load, scalability",milestone:m5,"task:infra-007",2026-01-30
Task,"Application Performance Monitoring (APM)","Integrate APM: Sentry for errors, DataDog/New Relic for metrics. Track API latency, DB query performance, queue lag. Set up alerts for anomalies.",high,todo,8,"devops, monitoring, observability, apm",milestone:m5,"",2026-01-30
Task,"Structured Logging & Tracing","Implement structured JSON logging with correlation IDs. Add distributed tracing (OpenTelemetry) for request flows. Integrate with ELK stack or Grafana Loki.",medium,todo,8,"devops, logging, tracing, observability",milestone:m5,"",2026-01-30
Task,"CI/CD Pipeline with Multi-Platform Builds","Automate builds for all platforms: Android APK/AAB, iOS IPA, Web bundle, Desktop installers. Run tests on every PR. Deploy to staging/production with blue-green strategy.",high,todo,12,"devops, ci-cd, automation, kmp",milestone:m5,"",2026-01-30
Task,"Automated JIRA/Notion Sync from .code-hq","Build script to export graph.jsonld to JIRA CSV and Notion database. Sync tasks, milestones, time tracking. Schedule daily sync with GitHub Actions.",medium,todo,8,"project-management, automation, code-hq, integration",milestone:m4,"",2026-01-30
Task,"Progress Dashboard & Burndown Charts","Generate HTML dashboard from graph.jsonld: task completion rates, velocity charts, burndown, milestone progress. Auto-update and host as GitHub Pages.",low,todo,6,"project-management, visualization, code-hq",milestone:m5,"",2026-01-30
